id,lat,lon,year,species
6501043337,56.7941,16.56831,2026,Hemileccinum depilatum
6501050306,56.96899,14.26296,2026,Russula consobrina
6501056333,56.19811,15.4747,2026,Caloboletus radicans
6501062404,56.88665,14.77008,2026,Golovinomyces artemisiae
6501065347,56.96899,14.26296,2026,Lactarius necator
6501067304,56.0936,13.10691,2026,Segestria leptalea
6501068333,56.18739,15.62137,2026,Lophodermium gramineum
6501074369,56.90579,16.73629,2026,Marasmius rotula
6501079303,56.16026,15.64614,2026,Fistulina hepatica
6501080360,56.13708,13.54176,2026,Pyrenula nitida
6501082316,56.75383,16.68362,2026,Gymnopus dryophilus
6501083435,56.79801,16.57749,2026,Hemileccinum depilatum
6501088329,56.43936,12.56334,2026,Lobaria pulmonaria
6501092344,56.58283,16.42851,2026,Gymnopus dryophilus
6501096428,56.87205,14.85615,2026,Coleosporium tussilaginis
6501096433,56.85015,14.84108,2026,Amanita porphyria
6501101428,56.14015,13.54377,2026,Thelotrema lepadinum
6501104411,56.96899,14.26296,2026,Laccaria amethystina
6501110339,56.14051,13.52002,2026,Multiclavula mucida
6501114326,56.20705,15.53026,2026,Ganoderma resinaceum
6501115303,56.79526,16.57173,2026,Imperator rhodopurpureus
6501118372,56.44631,12.55462,2026,Megalaria laureri
6501120409,56.00102,13.61068,2026,Fomitopsis betulina
6501124310,56.96899,14.26296,2026,Lactarius helvus
6501126330,56.92721,14.74797,2026,Neoboletus luridiformis
6501133345,56.91283,14.38242,2026,Lactifluus volemus
6501138395,56.44631,12.55462,2026,Coniocarpon cinnabarinum
6501141357,56.87627,16.64369,2026,Agaricus xanthodermus
6501148428,56.14655,13.11917,2026,Fistulina hepatica
6501157385,56.70716,12.74147,2026,Agrocybe praecox
6501162331,56.75349,16.683,2026,Lactarius acerrimus
6501163303,56.14001,13.54323,2026,Alyxoria ochrocheila
6501163390,56.7937,16.57332,2026,Butyriboletus appendiculatus
6501168305,56.72565,15.94979,2026,
6501175309,56.67562,14.42332,2026,Lecanactis abietina
6501175411,56.52759,16.51492,2026,Toniniopsis bagliettoana
6501187312,56.14006,13.54329,2026,Pyrenula nitida
6501188364,56.13697,13.54164,2026,Alyxoria varia
6501188435,56.20322,15.51528,2026,Fistulina hepatica
6501201429,56.7542,16.68318,2026,Hemileccinum depilatum
6501202351,56.35282,16.46377,2026,Gloeophyllum sepiarium
6501209364,56.7547,13.0829,2026,Amanita muscaria
6501221302,56.86344,14.96361,2026,Coleosporium tussilaginis
6501221336,56.43985,12.5733,2026,Opegrapha vermicellifera
6501223391,56.58094,16.41866,2026,Sawadaea tulasnei
6501224314,56.4391,12.57027,2026,Megalaria laureri
6501231437,56.63307,12.9052,2026,Taphrina betulina
6501235435,56.96899,14.26296,2026,Lactarius torminosus
6501236333,56.17954,15.61243,2026,Grifola frondosa
6501238318,56.79526,16.57173,2026,Fomitopsis betulina
6501238357,56.44544,16.48305,2026,Squamarina lentigera
6501239340,56.43985,12.5733,2026,Phlyctis agelaea
6501240397,56.67509,14.42548,2026,Acolium inquinans
6501246312,56.7519,16.68284,2026,Hemileccinum depilatum
6501256414,56.67576,14.42423,2026,Bacidia rubella
6501260328,56.59496,16.43692,2026,Neoboletus xanthopus
6501263405,56.42313,16.40648,2026,Xerocomellus cisalpinus
6501279332,56.96556,14.25722,2026,Tylopilus felleus
6501280304,56.67509,14.42548,2026,Lecanactis abietina
6501282384,56.79189,16.57957,2026,Suillellus luridus
6501284420,56.67555,14.42316,2026,Lecanactis abietina
6501286397,56.16923,15.64268,2026,Fomitiporia robusta
6501288390,56.17398,15.44188,2026,Dendrographa decolorans
6501290337,56.81352,16.58266,2026,Leccinellum pseudoscabrum
6501292404,56.14595,13.1192,2026,Arthonia vinosa
6501292425,56.42796,15.7815,2026,Albatrellus ovinus
6501293307,56.17398,15.44188,2026,Lendemeriella lucifuga
6501297420,56.96899,14.26296,2026,Boletus edulis
6501303427,56.08198,13.59909,2026,Hericium coralloides
6501304415,56.18942,15.62298,2026,Nodulosphaeria pontica
6501307375,56.87349,16.65211,2026,Phaeolus schweinitzii
6501311359,56.58283,16.42851,2026,Lenzites betulinus
6501311409,56.18414,15.60942,2026,Hapalopilus croceus
6501313306,56.13662,13.54115,2026,Opegrapha vermicellifera
6501320357,56.90456,14.57314,2026,Gymnosporangium sabinae
6501322342,56.16695,15.64522,2026,Inonotus cuticularis
6501323395,56.19149,15.6012,2026,Lophodermium gramineum
6501324417,56.43985,12.5733,2026,Pyrenula nitida
6501326435,56.75386,16.68394,2026,Hygrophorus russula
6501329353,56.61535,16.50388,2026,Coprinopsis nivea
6501329411,56.38338,16.09025,2026,Gymnosporangium sabinae
6501332428,56.96899,14.26296,2026,Russula claroflava
6501338362,56.16835,15.64216,2026,Eutypella quaternata
6501338363,56.79321,16.57031,2026,Rubroboletus legaliae
6501346360,56.18568,15.62294,2026,Caloboletus radicans
6501349420,56.18739,15.62137,2026,Lophiostoma semiliberum
6501356381,56.17398,15.44188,2026,Bactrospora corticola
6501364315,56.14838,13.07252,2026,Chrysothrix candelaris
6501364399,56.73784,14.58712,2026,Erysiphe lythri
6501371394,56.13662,13.54115,2026,Pertusaria hymenea
6501372387,56.17398,15.44188,2026,Fistulina hepatica
6501374364,56.5835,16.43021,2026,Eutypella sorbi
6501374426,56.79302,16.57087,2026,Imperator rhodopurpureus
6501378390,56.14022,13.54372,2026,Pyrenula nitida
6501379358,56.16871,15.64421,2026,Inonotus cuticularis
6501387410,56.52421,16.54182,2026,Synalissa symphorea
6501393396,56.14018,13.54374,2026,Bacidia rubella
6501397403,56.79526,16.57173,2026,Aureoboletus moravicus
6501412424,56.76293,16.54674,2026,Megacollybia platyphylla
6501416421,56.42313,16.40648,2026,Leucoagaricus nympharum
6501417407,56.18624,15.60938,2026,Lophiostoma vagabundum
6501421434,56.79423,16.57782,2026,Fistulina hepatica
6501422308,56.18707,12.56106,2026,Aspropaxillus giganteus
6501427323,56.44173,12.5741,2026,Ricasolia virens
6501431341,56.20771,15.64262,2026,
6501431377,56.67534,14.4232,2026,Lecanactis abietina
6501433375,56.96899,14.26296,2026,Amanita fulva
6501437399,56.17701,15.44814,2026,Cladonia parasitica
6501439340,56.14023,13.54339,2026,Opegrapha vermicellifera
6501443415,56.18942,15.62298,2026,Merismodes granulosa
6501449388,56.00002,13.61261,2026,Hericium coralloides
6501453379,56.79489,16.57134,2026,Imperator rhodopurpureus
6501454343,56.96899,14.26296,2026,Pholiota flammans
6501455368,56.76293,16.54674,2026,Tylopilus felleus
6501457352,56.14648,13.11963,2026,Xylobolus frustulatus
6501468425,56.61809,16.48935,2026,
6501472304,56.92721,14.74797,2026,Caloboletus calopus
6501472361,56.1854,15.62266,2026,Parastagonospora nodorum
6501473387,56.91761,14.38017,2026,Lactarius rufus
6501475376,56.21835,16.41035,2026,Fistulina hepatica
6501476329,56.18569,15.56054,2026,Puccinia phragmitis
6501481358,56.20771,15.64262,2026,Leptosphaeria gloeospora
6501486340,56.27765,13.72226,2026,Russula atropurpurea
6501489336,56.14638,13.12351,2026,Calicium adspersum
6501494364,56.03003,12.727,2026,Laetiporus sulphureus
6501499418,56.76293,16.54674,2026,Marasmius wettsteinii
6501500385,56.79338,16.57035,2026,Gymnopus fusipes
6501506415,56.84094,13.45417,2026,Calocera cornea
6501507340,56.18624,15.60938,2026,Lophiostoma macrostomum
6501508416,56.58291,16.42996,2026,Xylaria hypoxylon
6501513312,56.79163,14.82027,2026,Marasmius oreades
6501516384,56.67535,14.42298,2026,Lecanactis abietina
6501523330,56.43985,12.5733,2026,Pachyphiale carneola
6501529391,56.59496,16.43692,2026,Gymnopus fusipes
6501531344,56.90456,14.57314,2026,Venturia pyrina
6501534314,56.52723,16.5192,2026,Circinaria calcarea
6501540367,56.92721,14.74797,2026,Mensularia nodulosa
6501547347,56.66759,16.59896,2026,Butyriboletus fechtneri
6501554348,56.10551,12.97396,2026,
6501556398,56.9083,16.80535,2026,Inonotus hispidus
6501560390,56.67113,16.59902,2026,Phellinus igniarius
6501560416,56.44066,12.57367,2026,Ricasolia virens
6501565357,56.92737,14.79232,2026,Acolium inquinans
6501566345,56.92828,14.74933,2026,
6501566346,56.79302,16.57087,2026,Entoloma sinuatum
6501574352,56.13662,13.54115,2026,Pertusaria flavida
6501577355,56.67545,14.42311,2026,Arthonia vinosa
6501581326,56.30205,15.47091,2026,Diaporthe arctii
6501582317,56.03745,13.24541,2026,Fomes fomentarius
6501595354,56.67509,14.42548,2026,Arthonia vinosa
6501598313,56.9223,14.39308,2026,Hypholoma lateritium
6501605301,56.4909,13.46087,2026,Cortinarius rubellus
6523129397,56.36156,14.98624,2026,Lachnum diminutum
6523140360,56.70401,13.01254,2026,Leccinum holopus
6523144350,56.24185,12.84541,2026,Collybiopsis confluens
6523144408,56.6814,16.49301,2026,Phaeoclavulina eumorpha
6523146417,56.85471,16.26272,2026,Hypholoma fasciculare
6523147369,56.1975,12.58361,2026,Chalciporus piperatus
6523153375,56.24185,12.84541,2026,Leptosphaerulina myrtillina
6523155367,56.6814,16.49301,2026,Mycena galopus
6523157318,56.16432,15.57677,2026,Albotricha acutipila
6523161414,56.89693,14.76261,2026,Marasmius oreades
6523167315,56.41258,15.99214,2026,Pseudoinonotus dryadeus
6523167384,56.77591,12.94943,2026,Hygrophoropsis aurantiaca
6523168395,56.965,14.36306,2026,Hygrocybe chlorophana
6523168410,56.23475,14.19912,2026,Amanita muscaria
6523168422,56.03722,13.25,2026,Russula adusta
6523170420,56.66842,12.86692,2026,Aspropaxillus giganteus
6523170424,56.90512,14.77247,2026,Fistulina hepatica
6523172344,56.48222,16.14748,2026,Hypomyces chrysospermus
6523173341,56.03695,13.24722,2026,Trametes ochracea
6523176406,56.3565,14.58853,2026,Chalciporus piperatus
6523177341,56.24185,12.84541,2026,Xylodon radula
6523177381,56.3267,13.58481,2026,Mycena epipterygia
6523180367,56.04642,13.32053,2026,Panaeolus papilionaceus
6523181323,56.7911,16.58003,2026,
6523182359,56.50593,15.0841,2026,Amanita citrina
6523186304,56.84769,13.01553,2026,Hypholoma lateritium
6523188326,56.6814,16.49301,2026,Calocera viscosa
6523188340,56.85355,16.6195,2026,Trechispora fastidiosa
6523192379,56.9259,14.38714,2026,Macrolepiota procera
6523193372,56.17848,15.45453,2026,Hapalopilus croceus
6523193388,56.19746,12.58546,2026,Amanita excelsa
6523194357,56.87741,13.53439,2026,Thelotrema lepadinum
6523195373,56.87723,13.53413,2026,Lobaria pulmonaria
