group,lat,lon,year,cycle,score_mlp
bg_fungi,62.216835,25.495883,2025.0,2023,0.09475753092071197
bg_fungi,60.78455,24.07403,2025.0,2023,0.5103636284669241
bg_fungi,60.78454,24.06902,2025.0,2023,0.47805799047152203
bg_fungi,60.024706,23.856704,2025.0,2023,0.10552336151401202
bg_fungi,60.78558,24.07788,2025.0,2023,0.029335040288666885
bg_fungi,60.517888,22.360096,2025.0,2023,0.04696341153855125
bg_fungi,60.518333,22.359551,2025.0,2023,0.1445497659345468
bg_fungi,61.218272,25.02039,2025.0,2023,0.004408049338962883
bg_fungi,61.218417,25.024758,2025.0,2023,0.001848858470718066
bg_fungi,65.566,28.18901,2025.0,2023,0.3176547388235728
bg_fungi,61.219283,25.023158,2025.0,2023,0.008396141541500887
bg_fungi,63.873358,29.131925,2025.0,2023,0.03402181093891462
bg_fungi,61.21972,25.02976,2025.0,2023,0.007737539475783706
bg_fungi,61.218875,25.024766,2025.0,2023,0.002094956813380122
bg_fungi,61.565626,23.945389,2025.0,2023,0.0052538747938039405
bg_fungi,61.565459,23.944405,2025.0,2023,0.006029822713268611
bg_fungi,62.863415,30.400891,2025.0,2023,0.06422100433458884
bg_fungi,60.428,22.202,2025.0,2023,0.6115260422229767
bg_fungi,65.014571,25.677027,2025.0,2023,0.001324655968346633
bg_fungi,61.21972,25.02976,2025.0,2023,0.007737539475783706
bg_fungi,61.219406,25.029761,2025.0,2023,0.0144501420436427
bg_fungi,61.220034,25.025401,2025.0,2023,0.013120060708994666
bg_fungi,61.218875,25.024766,2025.0,2023,0.002094956813380122
bg_fungi,61.219032,25.024458,2025.0,2023,0.0021528632399470857
bg_fungi,61.219032,25.024458,2025.0,2023,0.0021528632399470857
bg_fungi,61.220034,25.025401,2025.0,2023,0.013120060708994666
bg_fungi,61.220034,25.025401,2025.0,2023,0.013120060708994666
bg_fungi,61.218875,25.024766,2025.0,2023,0.002094956813380122
bg_fungi,61.219283,25.023158,2025.0,2023,0.008396141541500887
bg_fungi,61.220034,25.025401,2025.0,2023,0.013120060708994666
bg_fungi,61.218272,25.02039,2025.0,2023,0.004408049338962883
bg_fungi,61.218417,25.024758,2025.0,2023,0.001848858470718066
bg_fungi,61.218417,25.024758,2025.0,2023,0.001848858470718066
bg_fungi,61.218417,25.024758,2025.0,2023,0.001848858470718066
bg_fungi,61.218417,25.024758,2025.0,2023,0.001848858470718066
bg_fungi,60.318126,22.305642,2025.0,2023,0.5838831861813863
bg_fungi,60.17557,24.986754,2025.0,2023,0.5212184687455496
bg_fungi,60.27477,24.89975,2025.0,2023,0.14322428405284882
bg_fungi,60.149676,21.631133,2025.0,2023,0.7012334068616232
bg_fungi,65.020077,24.639488,2025.0,2023,0.9646940032641093
