group,weight,id,lat,lon,x,y,row,col,year,cycle,unc_m,ika,manty,kuusi,koivu,tilavuus,ppa,latvuspeitto,keskipituus,keskilapimitta,pine_share,spruce_share,decid_share,stems_ha,site_1,site_2,site_3,site_4,site_5,site_6,site_7,site_8,site_missing,main_1,main_2,main_3,main_4,ika_m3,manty_m3,kuusi_m3,latvuspeitto_m3,ppa_m3,ika_m9,manty_m9,kuusi_m9,latvuspeitto_m9,ppa_m9,dry_site_frac9,pine_max9,spruce_min9,elev,slope,northness,eastness,tpi7,tpi31,relief7,soil_coarse,soil_till,soil_fine,soil_rock,soil_peat,soil_other,soil_none,coarse_frac9,coarse_frac31,glac_glaciofluvial,glac_littoral,glac_moraine,glac_other,glac_none,glacfl_frac31,thermal_sum,precip
presence,1.0,4412691435,61.178489,28.365735,573448.3588146011,6783435.524426604,62179,32238,2023,2023,1.0,39,121,12,2,136,18,63,167,19,0.88321,0.087591,0.014599,634.86,0,0,1,0,0,0,0,0,0,1,0,0,0,53.111,113.78,22.444,60.889,17.778,60.761,107.04,35.09,59.403,19.821,0.2716,263,0,78.7,2.3264,0.38461,0.92308,0.040817,-1.7634,6.2,1,0,0,0,0,0,0,0.83951,0.70031,1,0,0,0,0,0.6129,1400.6,604.3
presence,1.0,4418547819,64.205882,29.179715,605813.5780422589,7121768.990486689,41033,34261,2023,2023,1.0,91,107,0,1,108,18,54,172,20,0.98165,0,0.0091743,572.96,0,0,0,1,0,0,0,0,0,1,0,0,0,64.857,77.714,2.5714,46.429,13,38.829,37.171,2.3571,25.4,6.3,0.77778,132,0,179.8,3.5224,-0.91381,0.40614,0.55103,-0.41988,3.1,1,0,0,0,0,0,0,0.90123,0.75338,1,0,0,0,0,0.22685,1052.5,682.08
presence,0.3,4604652320,62.044518,24.848276,387477.83940167585,6881006.149952404,56081,20615,2023,2023,1000.0,64.8,114.8,6.4,4.2,125.6,18,57.6,164.6,19.4,0.90974,0.042082,0.032621,631.56,0,0,0.2,0.6,0.2,0,0,0,0,0.8,0,0.2,0,57.186,108.18,17.703,51.058,17.25,58.329,113.06,23.063,54.477,18.816,0.67654,185.8,1,140.52,2.4321,-0.39689,-0.75601,0.027347,-0.20868,4.74,0.8,0,0,0,0.2,0,0,0.77778,0.83226,0.6,0,0,0,0.4,0.78626,1226.3,631.79
presence,0.3,4858923525,60.29257,24.501465,361892.1169351522,6686610.889894215,68230,19016,2023,2023,1000.0,89.8,74.4,123,12.8,215.6,24,65.6,196,25,0.3562,0.5555,0.058977,525.31,0,0,0.8,0.2,0,0,0,0,0,0.8,0,0.2,0,83.425,71.142,110.52,63.6,23.206,80.634,71.862,93.77,60.857,21.39,0.19753,176,0,80.66,10.391,0.41982,0.35988,0.54531,0.34289,12.84,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1390.5,716.08
presence,1.0,6194034300,66.500983,25.761039,444876.02019025723,7376299.452520557,25125,24202,2023,2023,1.0,77,122,9,2,133,18,50,156,21,0.91045,0.067164,0.014925,519.69,0,0,1,0,0,0,0,0,0,1,0,0,0,78.778,112.11,6.4444,45.556,16.889,83.272,120.86,7.8025,49.148,18.111,0.24691,160,0,129.7,5.1905,-0.65362,-0.75682,-0.14287,-0.40115,14.1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,976.07,603.2
presence,1.0,6194038551,66.500721,25.767725,445172.8869951001,7376264.368493206,25127,24221,2023,2023,1.0,89,124,2,2,128,17,45,148,21,0.96124,0.015504,0.015504,490.82,0,0,1,0,0,0,0,0,0,1,0,0,0,85.667,107.89,3.5556,42.111,15.333,99.296,107.86,2.7407,43.444,15.642,0.2716,160,0,153.7,6.8092,-0.7328,-0.68045,0.21021,2.1907,16.1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,975.72,603.23
presence,0.3,4421727536,59.82941,23.03314,277687.5787135905,6639070.5648100665,71202,13753,2023,2023,1000.0,44.333,101.33,19.333,51.333,183.33,21,63,155,18.667,0.49933,0.1116,0.30713,802.77,0,0,1,0,0,0,0,0,0,1,0,0,0,55.642,107.05,38.717,64.967,22.625,53.418,68.942,31.209,62.689,19.272,0.09465,207.67,0.66667,6.9667,1.4626,-0.23556,0.79505,-0.22721,-1.112,2.9333,0.66667,0,0.33333,0,0,0,0,0.66667,0.8675,0.33333,0.33333,0,0,0.33333,0.23205,1490,632.34
presence,0.3,4846505304,61.74856,25.19531,404705.85352465336,6847492.158074099,58175,21692,2023,2023,1000.0,41,58.2,28,28.4,126,17.6,67.2,144.8,16,0.34094,0.31687,0.22837,1080.9,0,0.2,0.6,0.2,0,0,0,0,0,1,0,0,0,42.667,51.311,46.444,66.422,18.2,46.487,52.523,65.192,66.703,19.211,0.2,155,3.4,131.44,3.8178,-0.15788,0.23226,0.11959,0.67528,8.98,0,0.4,0,0.6,0,0,0,0,0,0,0,0,0,1,0,1273.3,639.53
presence,1.0,3899685966,66.002045,28.326792,560210.1121297993,7320774.902466469,28595,31411,2022,2021,1.0,97,85,14,0,99,12,40,159,20,0.85,0.14,0,381.97,0,0,0,1,0,0,0,0,0,1,0,0,0,104.89,104.67,7,48.556,15.667,105.05,104.55,10.244,48.09,15.628,0.77778,154,0,252.4,1.3033,0.27474,-0.96152,-1.349,-1.0765,11.5,1,0,0,0,0,0,0,0.95062,0.80229,1,0,0,0,0,0.77419,881.69,685.94
presence,1.0,3899686038,66.473553,25.860447,449242.71258229495,7373158.051643752,25321,24475,2022,2021,100.0,90,93,1,1,96,15,46,130,19,0.95876,0.010309,0.010309,529.05,0,0,0,1,0,0,0,0,0,1,0,0,0,89.778,88.667,1.5556,44.556,14.778,88.522,78.358,1.8806,40.731,13.343,0.60494,112,0,96.2,1.1323,0.31623,-0.94868,0.095924,1.1744,2.4,1,0,0,0,0,0,0,1,0.9001,1,0,0,0,0,0.64516,978.24,600.13
presence,1.0,3902036211,64.800908,25.289505,418746.6106008191,7187364.020229791,36933,22569,2022,2021,227.0,50,109,25,20,155,23,76,130,15,0.69872,0.16026,0.12821,1301.5,0,0,1,0,0,0,0,0,0,1,0,0,0,46.667,98.667,19.111,74.222,21,59.259,105.42,20.926,69.086,20.765,0.41975,175,0,27.3,1.0742,1,0,-0.17755,0.63788,1.8,1,0,0,0,0,0,0,1,0.84599,0,1,0,0,0,0,1137.1,541.84
