id,lat,lon,year,species,dataset,dataset_key,license
4605993528,61.744631,25.184673,2023,Hebeloma sordescens,"Notebook, general observations",df12ca07-f133-4550-ab3b-fde13f0e76ba,http://creativecommons.org/licenses/by/4.0/legalcode
4605994360,61.740164,25.304592,2023,Hydnum rufescens,"Notebook, general observations",df12ca07-f133-4550-ab3b-fde13f0e76ba,http://creativecommons.org/licenses/by/4.0/legalcode
4605994565,61.744631,25.184673,2023,Hebeloma leucosarx,"Notebook, general observations",df12ca07-f133-4550-ab3b-fde13f0e76ba,http://creativecommons.org/licenses/by/4.0/legalcode
4605995376,61.740164,25.304592,2023,Hydnum rufescens,"Notebook, general observations",df12ca07-f133-4550-ab3b-fde13f0e76ba,http://creativecommons.org/licenses/by/4.0/legalcode
4605995571,61.744631,25.184673,2023,Phlegmacium argutum,"Notebook, general observations",df12ca07-f133-4550-ab3b-fde13f0e76ba,http://creativecommons.org/licenses/by/4.0/legalcode
4605997380,61.740164,25.304592,2023,Albatrellopsis confluens,"Notebook, general observations",df12ca07-f133-4550-ab3b-fde13f0e76ba,http://creativecommons.org/licenses/by/4.0/legalcode
4605997578,61.744631,25.184673,2023,Cortinarius lucorum,"Notebook, general observations",df12ca07-f133-4550-ab3b-fde13f0e76ba,http://creativecommons.org/licenses/by/4.0/legalcode
4605999351,61.743678,25.284284,2023,Hydnum rufescens,"Notebook, general observations",df12ca07-f133-4550-ab3b-fde13f0e76ba,http://creativecommons.org/licenses/by/4.0/legalcode
4606002380,61.744631,25.184673,2023,Thaxterogaster porphyropus,"Notebook, general observations",df12ca07-f133-4550-ab3b-fde13f0e76ba,http://creativecommons.org/licenses/by/4.0/legalcode
4606002387,61.744059,25.181658,2023,Cortinarius saturninus,"Notebook, general observations",df12ca07-f133-4550-ab3b-fde13f0e76ba,http://creativecommons.org/licenses/by/4.0/legalcode
4606002550,61.744631,25.184673,2023,Amanita friabilis,"Notebook, general observations",df12ca07-f133-4550-ab3b-fde13f0e76ba,http://creativecommons.org/licenses/by/4.0/legalcode
4606003393,61.744631,25.184673,2023,Hygrophorus piceae,"Notebook, general observations",df12ca07-f133-4550-ab3b-fde13f0e76ba,http://creativecommons.org/licenses/by/4.0/legalcode
4606003401,61.744059,25.181658,2023,Thaxterogaster porphyropus,"Notebook, general observations",df12ca07-f133-4550-ab3b-fde13f0e76ba,http://creativecommons.org/licenses/by/4.0/legalcode
4606004385,61.744631,25.184673,2023,Inocybe cincinnata,"Notebook, general observations",df12ca07-f133-4550-ab3b-fde13f0e76ba,http://creativecommons.org/licenses/by/4.0/legalcode
4606004392,61.744059,25.181658,2023,Cortinarius lucorum,"Notebook, general observations",df12ca07-f133-4550-ab3b-fde13f0e76ba,http://creativecommons.org/licenses/by/4.0/legalcode
4606004567,61.744631,25.184673,2023,Cortinarius raphanoides,"Notebook, general observations",df12ca07-f133-4550-ab3b-fde13f0e76ba,http://creativecommons.org/licenses/by/4.0/legalcode
4606005352,61.745499,25.185637,2023,Hydnum rufescens,"Notebook, general observations",df12ca07-f133-4550-ab3b-fde13f0e76ba,http://creativecommons.org/licenses/by/4.0/legalcode
4606005369,61.744631,25.184673,2023,Chlorophyllum olivieri,"Notebook, general observations",df12ca07-f133-4550-ab3b-fde13f0e76ba,http://creativecommons.org/licenses/by/4.0/legalcode
4606546040,61.504729,23.842278,2023,Amanita regalis,iNaturalist research-grade observations,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://creativecommons.org/licenses/by-nc/4.0/legalcode
4606575688,62.081636,21.2932,2023,Fomes fomentarius,iNaturalist research-grade observations,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://creativecommons.org/licenses/by-nc/4.0/legalcode
4606608459,60.746274,24.76385,2023,Amanita crocea,iNaturalist research-grade observations,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://creativecommons.org/licenses/by-nc/4.0/legalcode
4606644400,62.247836,22.882732,2023,Fomes fomentarius,iNaturalist research-grade observations,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://creativecommons.org/licenses/by-nc/4.0/legalcode
4606904276,60.273956,24.989622,2023,Amanita rubescens,iNaturalist research-grade observations,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://creativecommons.org/licenses/by-nc/4.0/legalcode
4606906397,63.19973,27.546152,2023,Cantharellus cibarius,iNaturalist research-grade observations,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://creativecommons.org/licenses/by-nc/4.0/legalcode
4606934215,59.973961,23.433266,2023,Nephromopsis chlorophylla,iNaturalist research-grade observations,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://creativecommons.org/publicdomain/zero/1.0/legalcode
4606969153,60.621003,21.69213,2023,Aleuria aurantia,iNaturalist research-grade observations,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://creativecommons.org/licenses/by-nc/4.0/legalcode
4607066771,60.213633,24.869773,2023,Amanita muscaria,iNaturalist research-grade observations,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://creativecommons.org/licenses/by-nc/4.0/legalcode
4607095297,61.46464,23.532515,2023,Ganoderma applanatum,iNaturalist research-grade observations,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://creativecommons.org/licenses/by-nc/4.0/legalcode
4607109475,60.406479,22.248437,2023,Cantharellus pallens,iNaturalist research-grade observations,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://creativecommons.org/licenses/by-nc/4.0/legalcode
4607172504,61.023881,24.469817,2023,Gloeophyllum odoratum,iNaturalist research-grade observations,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://creativecommons.org/licenses/by-nc/4.0/legalcode
4607357332,60.457957,25.194906,2023,Crustoderma dryinum,iNaturalist research-grade observations,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://creativecommons.org/licenses/by-nc/4.0/legalcode
4607390231,60.348512,22.221572,2023,Fomes fomentarius,iNaturalist research-grade observations,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://creativecommons.org/licenses/by-nc/4.0/legalcode
4607409284,60.634583,21.850372,2023,Cantharellus cibarius,iNaturalist research-grade observations,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://creativecommons.org/licenses/by-nc/4.0/legalcode
4607434957,60.240601,21.738372,2023,Fomes fomentarius,iNaturalist research-grade observations,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://creativecommons.org/licenses/by-nc/4.0/legalcode
4607468371,60.537114,24.193299,2023,Fomitopsis betulina,iNaturalist research-grade observations,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://creativecommons.org/licenses/by-nc/4.0/legalcode
4846019311,66.5944,25.69819,2023,Galerina calyptrata,The Atlas of Finnish Fungi,2bc4c2db-1dfa-419c-93ce-6602c5ae8c99,http://creativecommons.org/licenses/by/4.0/legalcode
4846019356,62.089292,29.878705,2023,Russula intermedia,The Atlas of Finnish Fungi,2bc4c2db-1dfa-419c-93ce-6602c5ae8c99,http://creativecommons.org/licenses/by/4.0/legalcode
4846019369,61.881072,29.838529,2023,Rickenella fibula,The Atlas of Finnish Fungi,2bc4c2db-1dfa-419c-93ce-6602c5ae8c99,http://creativecommons.org/licenses/by/4.0/legalcode
4846019377,61.456314,23.885503,2023,Agaricus sylvaticus,The Atlas of Finnish Fungi,2bc4c2db-1dfa-419c-93ce-6602c5ae8c99,http://creativecommons.org/licenses/by/4.0/legalcode
4846019379,61.459903,23.885581,2023,Chlorophyllum olivieri,The Atlas of Finnish Fungi,2bc4c2db-1dfa-419c-93ce-6602c5ae8c99,http://creativecommons.org/licenses/by/4.0/legalcode
4846019381,61.456483,23.813583,2023,Phlegmacium triumphans,The Atlas of Finnish Fungi,2bc4c2db-1dfa-419c-93ce-6602c5ae8c99,http://creativecommons.org/licenses/by/4.0/legalcode
4846019392,61.427485,23.032296,2023,Lactarius pubescens,The Atlas of Finnish Fungi,2bc4c2db-1dfa-419c-93ce-6602c5ae8c99,http://creativecommons.org/licenses/by/4.0/legalcode
4846019393,61.771574,22.747269,2023,Clitopilus prunulus,The Atlas of Finnish Fungi,2bc4c2db-1dfa-419c-93ce-6602c5ae8c99,http://creativecommons.org/licenses/by/4.0/legalcode
4846019407,60.585265,22.352333,2023,,The Atlas of Finnish Fungi,2bc4c2db-1dfa-419c-93ce-6602c5ae8c99,http://creativecommons.org/licenses/by/4.0/legalcode
4846019449,60.09498,22.868053,2023,Ramaria testaceoflava,The Atlas of Finnish Fungi,2bc4c2db-1dfa-419c-93ce-6602c5ae8c99,http://creativecommons.org/licenses/by/4.0/legalcode
4846019472,62.208449,30.315195,2023,,The Atlas of Finnish Fungi,2bc4c2db-1dfa-419c-93ce-6602c5ae8c99,http://creativecommons.org/licenses/by/4.0/legalcode
4846019473,62.209587,30.313542,2023,Lactarius scrobiculatus,The Atlas of Finnish Fungi,2bc4c2db-1dfa-419c-93ce-6602c5ae8c99,http://creativecommons.org/licenses/by/4.0/legalcode
4846019474,62.208603,30.31368,2023,,The Atlas of Finnish Fungi,2bc4c2db-1dfa-419c-93ce-6602c5ae8c99,http://creativecommons.org/licenses/by/4.0/legalcode
4846019475,62.207566,30.314919,2023,Panellus stipticus,The Atlas of Finnish Fungi,2bc4c2db-1dfa-419c-93ce-6602c5ae8c99,http://creativecommons.org/licenses/by/4.0/legalcode
4846019476,62.207079,30.316877,2023,Neohygrocybe nitrata,The Atlas of Finnish Fungi,2bc4c2db-1dfa-419c-93ce-6602c5ae8c99,http://creativecommons.org/licenses/by/4.0/legalcode
4846019477,62.206751,30.317237,2023,Lepista densifolia,The Atlas of Finnish Fungi,2bc4c2db-1dfa-419c-93ce-6602c5ae8c99,http://creativecommons.org/licenses/by/4.0/legalcode
4846019487,62.090783,29.872006,2023,Mycena galericulata,The Atlas of Finnish Fungi,2bc4c2db-1dfa-419c-93ce-6602c5ae8c99,http://creativecommons.org/licenses/by/4.0/legalcode
4846019499,61.88732,29.841022,2023,Spathularia flavida,The Atlas of Finnish Fungi,2bc4c2db-1dfa-419c-93ce-6602c5ae8c99,http://creativecommons.org/licenses/by/4.0/legalcode
4846019511,61.456736,23.885592,2023,Chlorociboria aeruginascens,The Atlas of Finnish Fungi,2bc4c2db-1dfa-419c-93ce-6602c5ae8c99,http://creativecommons.org/licenses/by/4.0/legalcode
4846019512,61.462164,23.8801,2023,Hermanssonia centrifuga,The Atlas of Finnish Fungi,2bc4c2db-1dfa-419c-93ce-6602c5ae8c99,http://creativecommons.org/licenses/by/4.0/legalcode
4846019513,61.456867,23.8853,2023,Agaricus sylvicola,The Atlas of Finnish Fungi,2bc4c2db-1dfa-419c-93ce-6602c5ae8c99,http://creativecommons.org/licenses/by/4.0/legalcode
4846019514,61.456867,23.8853,2023,Hydnum repandum,The Atlas of Finnish Fungi,2bc4c2db-1dfa-419c-93ce-6602c5ae8c99,http://creativecommons.org/licenses/by/4.0/legalcode
4846019515,61.456867,23.8853,2023,Lepiota felina,The Atlas of Finnish Fungi,2bc4c2db-1dfa-419c-93ce-6602c5ae8c99,http://creativecommons.org/licenses/by/4.0/legalcode
4846019516,61.456867,23.8853,2023,Mycena pura,The Atlas of Finnish Fungi,2bc4c2db-1dfa-419c-93ce-6602c5ae8c99,http://creativecommons.org/licenses/by/4.0/legalcode
4846019520,61.463047,23.880778,2023,Apioperdon pyriforme,The Atlas of Finnish Fungi,2bc4c2db-1dfa-419c-93ce-6602c5ae8c99,http://creativecommons.org/licenses/by/4.0/legalcode
4846019521,61.459903,23.885581,2023,Cortinarius rubellus,The Atlas of Finnish Fungi,2bc4c2db-1dfa-419c-93ce-6602c5ae8c99,http://creativecommons.org/licenses/by/4.0/legalcode
4846019522,61.462256,23.880006,2023,Pycnoporellus fulgens,The Atlas of Finnish Fungi,2bc4c2db-1dfa-419c-93ce-6602c5ae8c99,http://creativecommons.org/licenses/by/4.0/legalcode
4846019524,61.456053,23.817331,2023,Chlorociboria aeruginascens,The Atlas of Finnish Fungi,2bc4c2db-1dfa-419c-93ce-6602c5ae8c99,http://creativecommons.org/licenses/by/4.0/legalcode
4846019525,61.457128,23.815178,2023,Lactarius lignyotus,The Atlas of Finnish Fungi,2bc4c2db-1dfa-419c-93ce-6602c5ae8c99,http://creativecommons.org/licenses/by/4.0/legalcode
4846019526,61.456839,23.815561,2023,Phellinidium ferrugineofuscum,The Atlas of Finnish Fungi,2bc4c2db-1dfa-419c-93ce-6602c5ae8c99,http://creativecommons.org/licenses/by/4.0/legalcode
4846019527,61.456483,23.813583,2023,Leptoporus mollis,The Atlas of Finnish Fungi,2bc4c2db-1dfa-419c-93ce-6602c5ae8c99,http://creativecommons.org/licenses/by/4.0/legalcode
4846019528,61.455722,23.815267,2023,,The Atlas of Finnish Fungi,2bc4c2db-1dfa-419c-93ce-6602c5ae8c99,http://creativecommons.org/licenses/by/4.0/legalcode
4846019529,61.457117,23.809772,2023,,The Atlas of Finnish Fungi,2bc4c2db-1dfa-419c-93ce-6602c5ae8c99,http://creativecommons.org/licenses/by/4.0/legalcode
4846019530,61.457156,23.812081,2023,Asterodon ferruginosus,The Atlas of Finnish Fungi,2bc4c2db-1dfa-419c-93ce-6602c5ae8c99,http://creativecommons.org/licenses/by/4.0/legalcode
4846019545,61.42691,23.032222,2023,Amanita crocea,The Atlas of Finnish Fungi,2bc4c2db-1dfa-419c-93ce-6602c5ae8c99,http://creativecommons.org/licenses/by/4.0/legalcode
4846019546,61.771129,22.747336,2023,Amanita porphyria,The Atlas of Finnish Fungi,2bc4c2db-1dfa-419c-93ce-6602c5ae8c99,http://creativecommons.org/licenses/by/4.0/legalcode
4846019547,61.77094,22.747545,2023,Hygrophorus camarophyllus,The Atlas of Finnish Fungi,2bc4c2db-1dfa-419c-93ce-6602c5ae8c99,http://creativecommons.org/licenses/by/4.0/legalcode
4846019557,63.033236,21.618439,2023,Propolis farinosa,The Atlas of Finnish Fungi,2bc4c2db-1dfa-419c-93ce-6602c5ae8c99,http://creativecommons.org/licenses/by/4.0/legalcode
4846020317,61.484763,23.547231,2023,Pseudocraterellus pertenuis,The Atlas of Finnish Fungi,2bc4c2db-1dfa-419c-93ce-6602c5ae8c99,http://creativecommons.org/licenses/by/4.0/legalcode
4846020349,62.087168,29.879194,2023,Amanita citrina,The Atlas of Finnish Fungi,2bc4c2db-1dfa-419c-93ce-6602c5ae8c99,http://creativecommons.org/licenses/by/4.0/legalcode
4846020352,62.091961,29.872932,2023,Hypholoma lateritium,The Atlas of Finnish Fungi,2bc4c2db-1dfa-419c-93ce-6602c5ae8c99,http://creativecommons.org/licenses/by/4.0/legalcode
4846020366,61.885176,29.841269,2023,Suillus grevillei,The Atlas of Finnish Fungi,2bc4c2db-1dfa-419c-93ce-6602c5ae8c99,http://creativecommons.org/licenses/by/4.0/legalcode
