id,group,lat,lon,year,cycle,score_mlp
4924587693,presence,65.38716,18.86939,2024.0,2010,0.7706542213757833
4924588113,presence,65.6888,19.98919,2024.0,2010,0.7046725352605184
4924588727,presence,62.83657,13.4304,2024.0,2010,0.41051332155863446
4924588746,presence,65.10642,20.47662,2024.0,2010,0.9449613690376282
4924589258,presence,65.55838,22.11712,2024.0,2010,0.9694236914316813
4924589348,presence,63.28972,15.1477,2024.0,2010,0.19069499770800272
4924591779,presence,64.97583,20.81098,2024.0,2010,0.6824823021888733
4924595170,presence,61.09483,14.47274,2024.0,2010,0.9087429841359457
4924597522,presence,65.04103,20.53531,2024.0,2010,0.7152021527290344
4924599362,presence,65.04091,20.56202,2024.0,2010,0.8023278514544169
4924599485,presence,64.97589,20.80954,2024.0,2010,0.6624134580294291
4924601076,presence,65.10723,20.47599,2024.0,2010,0.9580032030741373
4924603296,presence,65.10688,20.48498,2024.0,2010,0.9583762486775717
4924604272,presence,65.10331,20.49188,2024.0,2010,0.972401479880015
4924604761,presence,62.83612,15.88489,2024.0,2010,0.7902911106745402
4924606917,presence,66.52097,20.0164,2024.0,2010,0.822157601515452
4924607260,presence,65.10694,20.48486,2024.0,2010,0.9327456951141357
4924607806,presence,65.10277,20.49181,2024.0,2010,0.9510735273361206
4924608177,presence,61.09317,14.47282,2024.0,2010,0.9247567653656006
4924609637,presence,65.55427,19.40634,2024.0,2010,0.9609664678573608
4924610726,presence,61.93366,14.14478,2024.0,2010,0.9486986597379049
4924614941,presence,61.09321,14.47128,2024.0,2010,0.9147719343503317
4924616380,presence,61.88049,13.0693,2024.0,2010,0.8886239926020304
4924620425,presence,61.19047,14.73229,2024.0,2010,0.7709800601005554
4924622203,presence,65.10721,20.47685,2024.0,2010,0.9650779167811075
4924627282,presence,66.52191,20.03344,2024.0,2010,0.9668757716814677
4924632174,presence,63.69086,19.61958,2024.0,2010,0.6326343019803365
4924633483,presence,59.15525,18.22104,2024.0,2010,0.6874823768933614
4924634343,presence,63.68936,19.62574,2024.0,2010,0.737342635790507
4924634907,presence,65.03857,20.52577,2024.0,2010,0.8074285984039307
4924643380,presence,66.58803,19.18661,2024.0,2010,0.8520986835161845
4924644232,presence,65.38567,18.87103,2024.0,2010,0.6295315424601237
4924648318,presence,65.00623,19.69012,2024.0,2010,0.9068009853363037
4924650568,presence,65.09115,20.50706,2024.0,2010,0.9422786831855774
4924660985,presence,61.93543,14.14213,2024.0,2010,0.9438726504643759
4924664181,presence,65.10315,20.49082,2024.0,2010,0.9725480278333029
4924664424,presence,63.67051,16.31453,2024.0,2010,0.6614067157109579
4924664489,presence,65.10608,20.472,2024.0,2010,0.7996154228846232
4924667060,presence,65.04093,20.53632,2024.0,2010,0.7260716160138448
4924667658,presence,64.97141,20.79083,2024.0,2010,0.8484192887941996
4924669674,presence,65.55863,22.11727,2024.0,2010,0.9737075169881185
4924669898,presence,61.93562,14.14223,2024.0,2010,0.9509772857030233
4924671669,presence,65.10288,20.49327,2024.0,2010,0.951247493426005
4924672310,presence,65.10336,20.49187,2024.0,2010,0.9715636571248373
